gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.42958012223243713,0.6598607301712036,-9.920086085912772e-08","0.4415932297706604,0.6401333808898926,-0.003988958895206451","0.44442620873451233,0.6047554016113281,-0.004464440047740936","0.4388110935688019,0.5772939324378967,-0.004311553202569485","0.42973124980926514,0.5702983140945435,-0.002991802291944623","0.4282403290271759,0.5946263074874878,-0.0042375908233225346","0.42094308137893677,0.5781852006912231,-0.010121820494532585","0.4288392663002014,0.5963653326034546,-0.011851769872009754","0.4318265914916992,0.6025150418281555,-0.012253985740244389","0.41945263743400574,0.6055653095245361,-0.0042927321046590805","0.4130033254623413,0.5889312624931335,-0.0097500029951334","0.42378416657447815,0.6093617081642151,-0.009043486788868904","0.42498332262039185,0.6134921908378601,-0.007630675099790096","0.41206732392311096,0.6181890368461609,-0.005136820487678051","0.40662676095962524,0.6028688549995422,-0.0121303154155612","0.4178917407989502,0.6214253306388855,-0.008262642659246922","0.4197408854961395,0.6270838379859924,-0.004330271854996681","0.40440869331359863,0.6320589184761047,-0.006097299512475729","0.40152406692504883,0.620331346988678,-0.011037479154765606","0.41081181168556213,0.6319975256919861,-0.008149312809109688","0.4132255017757416,0.6376246213912964,-0.004992952570319176"
0.0,"0.42906150221824646,0.6595216989517212,-1.0419068274813981e-07","0.44171640276908875,0.6402072310447693,-0.003552270121872425","0.4444940984249115,0.6038785576820374,-0.0037167491391301155","0.4388144314289093,0.5758422017097473,-0.003341295523568988","0.4293188154697418,0.5698155164718628,-0.0018147951923310757","0.428085595369339,0.5930097103118896,-0.003421194851398468","0.420869916677475,0.5771670341491699,-0.009251088835299015","0.4288770854473114,0.5952939987182617,-0.011252575553953648","0.4319656193256378,0.6014906167984009,-0.011870636604726315","0.41932642459869385,0.6039713621139526,-0.0036231055855751038","0.413080632686615,0.5881535410881042,-0.008876197040081024","0.423769474029541,0.6085066795349121,-0.00830621924251318","0.4249609708786011,0.6126497387886047,-0.007075188681483269","0.41195806860923767,0.6166460514068604,-0.004608995281159878","0.40679481625556946,0.6017236113548279,-0.01119321770966053","0.4178902506828308,0.6204444766044617,-0.007132866885513067","0.4196787178516388,0.6264923214912415,-0.0032470605801790953","0.40423130989074707,0.6304216384887695,-0.005736397113651037","0.40159595012664795,0.6189764738082886,-0.010312182828783989","0.41048553586006165,0.6315239071846008,-0.007223132532089949","0.4124792814254761,0.637489378452301,-0.004035871010273695"
0.0,"0.4297817051410675,0.6599745154380798,-1.0186167997972007e-07","0.4414823651313782,0.6405202746391296,-0.004051900934427977","0.4441617429256439,0.603615939617157,-0.004300401546061039","0.43822813034057617,0.5756872892379761,-0.003904564306139946","0.4288176894187927,0.5688190460205078,-0.0023676129058003426","0.42795494198799133,0.5923828482627869,-0.0038753750268369913","0.42082202434539795,0.576221227645874,-0.009715503081679344","0.4287974536418915,0.594890832901001,-0.011422520503401756","0.43207433819770813,0.6017702221870422,-0.011744930408895016","0.4192202389240265,0.6032121181488037,-0.0038761920295655727","0.41283246874809265,0.5870920419692993,-0.009535744786262512","0.42364761233329773,0.6080456972122192,-0.008930523879826069","0.4252641797065735,0.6133531332015991,-0.007438502740114927","0.4117981493473053,0.6159965395927429,-0.00469167809933424","0.40649157762527466,0.6016194224357605,-0.012009851634502411","0.41776207089424133,0.6209571957588196,-0.008272292092442513","0.41971683502197266,0.6273581981658936,-0.0042707351967692375","0.40395620465278625,0.630146861076355,-0.005611733067780733","0.40121015906333923,0.6186981797218323,-0.01073471736162901","0.4103800356388092,0.631130576133728,-0.0078623341396451","0.41259148716926575,0.6369656920433044,-0.0046406215988099575"
0.0,"0.4291909337043762,0.6599063277244568,-1.0326763089096858e-07","0.4409753680229187,0.6399481296539307,-0.003402822883799672","0.4436662197113037,0.6041168570518494,-0.0035397105384618044","0.4381197988986969,0.5759359002113342,-0.0032801383640617132","0.4287937581539154,0.5685333013534546,-0.0019708273466676474","0.4276999235153198,0.5918799638748169,-0.002791404025629163","0.4198912978172302,0.5764558911323547,-0.008702109567821026","0.42790454626083374,0.5938755869865417,-0.01072741113603115","0.4316561222076416,0.6004222631454468,-0.011241214349865913","0.4189510643482208,0.6029050946235657,-0.0030582540202885866","0.4121072292327881,0.5872582197189331,-0.008635806851089","0.4229712188243866,0.6075157523155212,-0.00817536935210228","0.4248431921005249,0.6125457882881165,-0.006819661241024733","0.4114859700202942,0.6158579587936401,-0.004149089567363262","0.40595144033432007,0.601463258266449,-0.011374265886843204","0.4172289967536926,0.6203017234802246,-0.007728422526270151","0.41945013403892517,0.6266989707946777,-0.003793077077716589","0.40369632840156555,0.6302233934402466,-0.005315309856086969","0.40085166692733765,0.6183945536613464,-0.010395837016403675","0.40993690490722656,0.6305583715438843,-0.007617741823196411","0.4123123586177826,0.6366358995437622,-0.004452921450138092"
0.0,"0.4292319118976593,0.6580177545547485,-1.0514206394418579e-07","0.4408166706562042,0.6385185122489929,-0.00349611253477633","0.4431297183036804,0.6020483374595642,-0.0035335393622517586","0.4372502565383911,0.5737749934196472,-0.003002691315487027","0.42763322591781616,0.5676677823066711,-0.001360804890282452","0.42701080441474915,0.5896643400192261,-0.0031941102351993322","0.41951078176498413,0.5743062496185303,-0.008968479931354523","0.4277462661266327,0.592646598815918,-0.010971855372190475","0.43127766251564026,0.5995770692825317,-0.011529247276484966","0.4183909296989441,0.6009281277656555,-0.00332967028953135","0.4112601578235626,0.5853706002235413,-0.008611156605184078","0.42256441712379456,0.6062576770782471,-0.007934405468404293","0.42440739274024963,0.6113690733909607,-0.006496083457022905","0.4109915494918823,0.6141631603240967,-0.004257760941982269","0.40531307458877563,0.5999931693077087,-0.01102554239332676","0.41669946908950806,0.6191855669021606,-0.007089309394359589","0.4186374843120575,0.625640869140625,-0.00309381284750998","0.4032773971557617,0.6287633776664734,-0.005283690057694912","0.40051814913749695,0.6169552206993103,-0.009865045547485352","0.40942421555519104,0.6296069622039795,-0.006773012224584818","0.4112551212310791,0.6358629465103149,-0.00349606666713953"
0.0,"0.4286949932575226,0.656629741191864,-9.666648281836387e-08","0.43957996368408203,0.6348210573196411,-0.0037029345985502005","0.44174692034721375,0.5992420315742493,-0.0040980116464197636","0.43621373176574707,0.5719090104103088,-0.004038169980049133","0.42680633068084717,0.5652180910110474,-0.002911363961175084","0.42584285140037537,0.5885189771652222,-0.003248310647904873","0.4184354841709137,0.5729947090148926,-0.009135971777141094","0.4267219603061676,0.5906338691711426,-0.01096054445952177","0.43024393916130066,0.5980424284934998,-0.011232404969632626","0.417304664850235,0.5999194383621216,-0.0034532404970377684","0.4101157784461975,0.5838501453399658,-0.008959759026765823","0.42152833938598633,0.6039878726005554,-0.008298004046082497","0.423471599817276,0.6096909046173096,-0.006742210127413273","0.4099893271923065,0.6135253310203552,-0.004503112751990557","0.404255211353302,0.5988729596138,-0.011595149524509907","0.4159541726112366,0.6169391870498657,-0.007996574975550175","0.4180268943309784,0.6234970688819885,-0.004068278707563877","0.4023953676223755,0.6288607716560364,-0.005647912155836821","0.39928415417671204,0.6166720986366272,-0.010496090166270733","0.40861809253692627,0.6275453567504883,-0.007687772158533335","0.41102302074432373,0.6337210536003113,-0.004538864828646183"
0.0,"0.42860889434814453,0.6591325402259827,-9.67274118579553e-08","0.4386873245239258,0.6357821226119995,-0.003815740579739213","0.44013988971710205,0.5992950797080994,-0.004099502693861723","0.4344639778137207,0.5718815922737122,-0.003932484891265631","0.4251185953617096,0.564197301864624,-0.0026028109714388847","0.4243801534175873,0.5894502997398376,-0.0032327412627637386","0.4162466824054718,0.5727797746658325,-0.009321136400103569","0.42494314908981323,0.5909607410430908,-0.011073585599660873","0.4287300407886505,0.5980671644210815,-0.011210286989808083","0.4159844219684601,0.6009567975997925,-0.0034143824595957994","0.4089398682117462,0.5850133299827576,-0.008962392807006836","0.420270711183548,0.605157732963562,-0.00823040772229433","0.4219817519187927,0.6100679636001587,-0.0066468617878854275","0.40866556763648987,0.6149193048477173,-0.004511523991823196","0.40289756655693054,0.5996080636978149,-0.011796587146818638","0.4146396517753601,0.6179907321929932,-0.008090781047940254","0.41673412919044495,0.6241821050643921,-0.004039594903588295","0.4010508060455322,0.6305313110351562,-0.005712033249437809","0.3978894352912903,0.6176736950874329,-0.01063162088394165","0.40737006068229675,0.6286687850952148,-0.00762443570420146","0.40985730290412903,0.6349329352378845,-0.004257789812982082"
0.0,"0.42823871970176697,0.6578694581985474,-9.906388243052788e-08","0.43804487586021423,0.6343397498130798,-0.003655338427051902","0.4391312301158905,0.5974929332733154,-0.004110322799533606","0.4331762492656708,0.5691331028938293,-0.004180601332336664","0.4230058193206787,0.5628114342689514,-0.003133015474304557","0.42329832911491394,0.5862959027290344,-0.0029133495409041643","0.41535326838493347,0.5701363682746887,-0.00901878997683525","0.4238300621509552,0.5886580348014832,-0.011159120127558708","0.42735975980758667,0.5955904126167297,-0.011724219657480717","0.4149005115032196,0.5985498428344727,-0.0032621498685330153","0.40764325857162476,0.5827475190162659,-0.009310665540397167","0.41921669244766235,0.6028559803962708,-0.009159051813185215","0.420859694480896,0.607892632484436,-0.007890536449849606","0.40776583552360535,0.6132820844650269,-0.004423436243087053","0.40166279673576355,0.5985025763511658,-0.011893126182258129","0.41367876529693604,0.6164436936378479,-0.008203359320759773","0.41546955704689026,0.622103750705719,-0.0041461423970758915","0.40044495463371277,0.6296165585517883,-0.0056640105322003365","0.397283136844635,0.6169668436050415,-0.010506945662200451","0.40681734681129456,0.6280795335769653,-0.00728268688544631","0.4088760316371918,0.6338766813278198,-0.0037891410756856203"
0.0,"0.42756104469299316,0.6548848152160645,-1.0987557175212714e-07","0.43786558508872986,0.631159782409668,-0.003230820642784238","0.43733081221580505,0.5931895971298218,-0.0031769676133990288","0.4310273826122284,0.5653351545333862,-0.002707603620365262","0.4210892617702484,0.5608769655227661,-0.000993354362435639","0.421160489320755,0.584105372428894,-0.0032376348972320557","0.4134696125984192,0.5671371221542358,-0.009366882964968681","0.42291688919067383,0.58608478307724,-0.011244416236877441","0.4258303642272949,0.5934191346168518,-0.011669320985674858","0.4131883382797241,0.5970660448074341,-0.0037368941120803356","0.4063386619091034,0.5807090997695923,-0.009841504506766796","0.41876664757728577,0.6016647815704346,-0.00944608636200428","0.4192434251308441,0.6061499714851379,-0.008098914287984371","0.40630748867988586,0.6119460463523865,-0.005011178553104401","0.40110304951667786,0.5968206524848938,-0.012513288296759129","0.41340702772140503,0.6153061985969543,-0.008512741886079311","0.41385069489479065,0.6204736828804016,-0.004355957731604576","0.3990134596824646,0.6278199553489685,-0.006315367761999369","0.3966195583343506,0.6143158674240112,-0.010969649069011211","0.40603604912757874,0.6259873509407043,-0.007459703367203474","0.4069078862667084,0.6321327090263367,-0.003935481887310743"
0.0,"0.42681241035461426,0.6555896997451782,-1.046439663809906e-07","0.4365200698375702,0.628993570804596,-0.0033970477525144815","0.43625274300575256,0.5926768183708191,-0.0037080992478877306","0.4300660789012909,0.565255880355835,-0.0037630219012498856","0.42033326625823975,0.5593491792678833,-0.002668531611561775","0.4201492667198181,0.5841583013534546,-0.0027050324715673923","0.4121849238872528,0.5672500729560852,-0.00879866536706686","0.4215489625930786,0.5843373537063599,-0.010485631413757801","0.4246181547641754,0.59135901927948,-0.010630982927978039","0.4123058617115021,0.5969196557998657,-0.003346328856423497","0.4053521752357483,0.5800919532775879,-0.009272643364965916","0.4176580309867859,0.5997822880744934,-0.008694116957485676","0.4184802770614624,0.6046052575111389,-0.00703560933470726","0.4055502712726593,0.6118878126144409,-0.004882584325969219","0.4002317190170288,0.5963166356086731,-0.012569565325975418","0.4125557839870453,0.6138656139373779,-0.008809750899672508","0.41332587599754333,0.6190627217292786,-0.00455345306545496","0.3986778259277344,0.6287985444068909,-0.0064664920791983604","0.3956322968006134,0.6145572662353516,-0.011357821524143219","0.4052380323410034,0.6249890923500061,-0.007944636046886444","0.4067631661891937,0.6312737464904785,-0.004291451070457697"
0.0,"0.4269952178001404,0.6539046168327332,-1.0392008675808029e-07","0.43581339716911316,0.6283397078514099,-0.003914407454431057","0.43560367822647095,0.5912743806838989,-0.004478684160858393","0.42953336238861084,0.5637269020080566,-0.0047589619643986225","0.419594407081604,0.5576231479644775,-0.0037465370260179043","0.4197571575641632,0.581685483455658,-0.0024101505987346172","0.4115843176841736,0.5644477605819702,-0.008897471241652966","0.4206562936306,0.5830598473548889,-0.01099936943501234","0.4236888289451599,0.5901976227760315,-0.011410324834287167","0.41195595264434814,0.5944929718971252,-0.0028346418403089046","0.40508702397346497,0.5789055824279785,-0.009136201813817024","0.4171610176563263,0.5992639064788818,-0.008816542103886604","0.41787686944007874,0.6027681827545166,-0.007278983481228352","0.4053013026714325,0.6097327470779419,-0.0042686923407018185","0.39997217059135437,0.595849335193634,-0.011958606541156769","0.411918580532074,0.6132609248161316,-0.008112791925668716","0.41255199909210205,0.6167705059051514,-0.003819334087893367","0.39847323298454285,0.6264545321464539,-0.005841754376888275","0.3956243395805359,0.6138025522232056,-0.010273143649101257","0.40482109785079956,0.6244140863418579,-0.006596330553293228","0.4060649573802948,0.6294470429420471,-0.002810696605592966"
0.0,"0.4267718195915222,0.651741087436676,-1.0349089762939911e-07","0.43556445837020874,0.6251599788665771,-0.003590361913666129","0.434673011302948,0.5873896479606628,-0.004005604423582554","0.4285379946231842,0.5592089295387268,-0.004251038655638695","0.41846323013305664,0.5531880855560303,-0.0032101981341838837","0.41893136501312256,0.5780474543571472,-0.0020372227299958467","0.41129618883132935,0.5607942342758179,-0.008388145826756954","0.4205445647239685,0.5794308185577393,-0.01047225296497345","0.42318931221961975,0.5861856341362,-0.0109938345849514","0.41115620732307434,0.5910071134567261,-0.002731572836637497","0.40481480956077576,0.5758172273635864,-0.009020013734698296","0.4168073832988739,0.5961530804634094,-0.008837969973683357","0.4170001149177551,0.5994219183921814,-0.007505620364099741","0.4046016335487366,0.6067119240760803,-0.00441419193521142","0.3999006450176239,0.5928251147270203,-0.012167331762611866","0.41173556447029114,0.6104317307472229,-0.008453278802335262","0.4118470847606659,0.6137428283691406,-0.0043211327865719795","0.39799046516418457,0.6238096356391907,-0.0062030646950006485","0.39582493901252747,0.6110002994537354,-0.01063419971615076","0.40475305914878845,0.621494472026825,-0.00699723232537508","0.4054024815559387,0.6264228224754333,-0.0033109819050878286"
0.0,"0.4270407557487488,0.6506430506706238,-1.0748391332526808e-07","0.43544620275497437,0.6232563853263855,-0.004020851105451584","0.4343664050102234,0.5848801136016846,-0.0043969168327748775","0.4279903769493103,0.5570372343063354,-0.004455628804862499","0.417776882648468,0.5513613820075989,-0.0030278179328888655","0.4182952642440796,0.5756046772003174,-0.0019185482524335384","0.41060712933540344,0.5584001541137695,-0.008631149306893349","0.4197515547275543,0.5776269435882568,-0.01116133015602827","0.42196211218833923,0.5838877558708191,-0.011982638388872147","0.41083434224128723,0.5890194773674011,-0.0023076781071722507","0.4043349623680115,0.5745145082473755,-0.008384722284972668","0.4165025055408478,0.5947113633155823,-0.008194337598979473","0.41626641154289246,0.5960367321968079,-0.007016918621957302","0.4043852388858795,0.6046951413154602,-0.00382261723279953","0.3990767300128937,0.5908023118972778,-0.011315710842609406","0.4112171232700348,0.6081631183624268,-0.007468995172530413","0.41130968928337097,0.6103922128677368,-0.0034187764395028353","0.3976491391658783,0.6215603351593018,-0.005529496818780899","0.39512336254119873,0.6094546914100647,-0.009751510806381702","0.40440690517425537,0.6199074387550354,-0.006016549654304981","0.4053558111190796,0.6243172883987427,-0.0023294854909181595"
