gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.2652479112148285,0.4404817819595337,-2.8265006335459475e-07","0.3165053129196167,0.43207716941833496,-0.024240657687187195","0.36801278591156006,0.3927401900291443,-0.04071962088346481","0.37801265716552734,0.33847054839134216,-0.055212292820215225","0.34146732091903687,0.32422712445259094,-0.06524041295051575","0.3502205014228821,0.19303858280181885,-0.01689581573009491","0.370998352766037,0.24449755251407623,-0.04570454731583595","0.35622215270996094,0.3151286542415619,-0.0642993152141571","0.34407269954681396,0.32012057304382324,-0.07609817385673523","0.3106459975242615,0.17189185321331024,-0.019550437107682228","0.3317144513130188,0.25206005573272705,-0.046235233545303345","0.32129693031311035,0.33084261417388916,-0.05538695678114891","0.312644898891449,0.32661888003349304,-0.05835134908556938","0.2726251780986786,0.1841481626033783,-0.026354361325502396","0.2929133474826813,0.28081122040748596,-0.0506054051220417","0.29015693068504333,0.3442206382751465,-0.04984486848115921","0.28413480520248413,0.32891330122947693,-0.0461021289229393","0.2389836460351944,0.21505102515220642,-0.03601350635290146","0.2579967677593231,0.30222517251968384,-0.04961252957582474","0.2604176998138428,0.34936150908470154,-0.04835300147533417","0.2563517987728119,0.33503279089927673,-0.04490271210670471"
0.0,"0.2627325654029846,0.4265725016593933,-1.991525238054237e-07","0.3092499077320099,0.42626798152923584,-0.027139082551002502","0.35701948404312134,0.40523454546928406,-0.04855019226670265","0.3652483820915222,0.3709426522254944,-0.06724228709936142","0.3297715485095978,0.3594910204410553,-0.08228785544633865","0.3450477421283722,0.19028139114379883,-0.028466420248150826","0.35392841696739197,0.28029492497444153,-0.06130348518490791","0.3451812267303467,0.3442428708076477,-0.08382220566272736","0.3406943082809448,0.3418603837490082,-0.09830065071582794","0.301483690738678,0.17380282282829285,-0.031048133969306946","0.3136739134788513,0.29095926880836487,-0.056834250688552856","0.3091317117214203,0.3577171564102173,-0.06588834524154663","0.30712080001831055,0.34726154804229736,-0.0713716447353363","0.2600697875022888,0.19082874059677124,-0.03762581944465637","0.2764614224433899,0.31626901030540466,-0.060431573539972305","0.277290940284729,0.3653631806373596,-0.05865372344851494","0.27506065368652344,0.34211233258247375,-0.056365709751844406","0.2239512801170349,0.2250443398952484,-0.04755041375756264","0.2405121624469757,0.3264009356498718,-0.06109798699617386","0.24800582230091095,0.36742401123046875,-0.05913405492901802","0.24951744079589844,0.3505901098251343,-0.056137118488550186"
0.0,"0.2511495053768158,0.40407446026802063,-1.5209533898996597e-07","0.29562053084373474,0.40630775690078735,-0.025127524510025978","0.3383864462375641,0.3965400159358978,-0.04774031415581703","0.35235580801963806,0.39825543761253357,-0.0681181475520134","0.3222171366214752,0.4058253765106201,-0.08554700016975403","0.33454251289367676,0.18690118193626404,-0.03722416236996651","0.3392278552055359,0.31751707196235657,-0.06997031718492508","0.32864299416542053,0.3626221716403961,-0.09217757731676102","0.32362112402915955,0.3421887159347534,-0.10801702737808228","0.2903452217578888,0.17752566933631897,-0.04144931957125664","0.3008553087711334,0.3413778841495514,-0.06751560419797897","0.2961423993110657,0.3769039511680603,-0.07617923617362976","0.2939142882823944,0.3453090190887451,-0.08364271372556686","0.24766267836093903,0.20254972577095032,-0.04877990484237671","0.26399731636047363,0.3644218444824219,-0.06975776702165604","0.2627224028110504,0.38418328762054443,-0.06557279080152512","0.2596454918384552,0.33972370624542236,-0.06329478323459625","0.21049323678016663,0.24472635984420776,-0.060011763125658035","0.22895997762680054,0.3692678213119507,-0.07654450833797455","0.23605677485466003,0.3867300748825073,-0.07714822888374329","0.23721367120742798,0.3508991599082947,-0.07626055181026459"
0.0,"0.24526727199554443,0.3392086923122406,-2.0745957840517804e-08","0.2941320836544037,0.3674723505973816,-0.032312821596860886","0.33592772483825684,0.3918225169181824,-0.057846806943416595","0.3424049913883209,0.4200578033924103,-0.07928989827632904","0.31001898646354675,0.43804609775543213,-0.09963798522949219","0.32529154419898987,0.21068552136421204,-0.057812198996543884","0.3215920031070709,0.37123972177505493,-0.09351025521755219","0.315142959356308,0.37866389751434326,-0.12015441060066223","0.3139679431915283,0.34255945682525635,-0.13970737159252167","0.27752965688705444,0.20280952751636505,-0.05716904252767563","0.2844579517841339,0.3908323645591736,-0.0801609680056572","0.28362390398979187,0.37666571140289307,-0.08733414858579636","0.2820747494697571,0.32349827885627747,-0.09720639139413834","0.23421159386634827,0.22779737412929535,-0.05911862105131149","0.24838493764400482,0.3982943296432495,-0.07711799442768097","0.24996539950370789,0.3762265145778656,-0.06942787021398544","0.24936455488204956,0.31706705689430237,-0.06609395891427994","0.19772867858409882,0.2679978609085083,-0.06592545658349991","0.21591703593730927,0.3905564844608307,-0.08338139951229095","0.22494250535964966,0.3702475428581238,-0.0836152732372284","0.22773754596710205,0.3181842863559723,-0.08301303535699844"
0.0,"0.24611590802669525,0.3245506286621094,6.478600056425421e-08","0.29991862177848816,0.35880571603775024,-0.03684518113732338","0.33849871158599854,0.39922723174095154,-0.06579168885946274","0.3376199007034302,0.44227468967437744,-0.08930638432502747","0.3002323806285858,0.46792811155319214,-0.1124245896935463","0.3144819736480713,0.23045837879180908,-0.07413924485445023","0.3130751848220825,0.3977854251861572,-0.10980484634637833","0.30959540605545044,0.3956276774406433,-0.13404397666454315","0.3072517216205597,0.3555767238140106,-0.15218622982501984","0.26636743545532227,0.22809560596942902,-0.07140079885721207","0.27896812558174133,0.42021968960762024,-0.09454499185085297","0.2794981598854065,0.3990325927734375,-0.09903626143932343","0.27675461769104004,0.34410080313682556,-0.10847607254981995","0.22479310631752014,0.2547815144062042,-0.07043366879224777","0.244479238986969,0.42970409989356995,-0.08815733343362808","0.24579715728759766,0.40303313732147217,-0.07867308706045151","0.2438330352306366,0.34624022245407104,-0.07515843957662582","0.1912371814250946,0.29460588097572327,-0.07468689233064651","0.21341663599014282,0.42228296399116516,-0.09409648180007935","0.2228216528892517,0.39544573426246643,-0.09542183578014374","0.22353404760360718,0.34462931752204895,-0.09634515643119812"
0.0,"0.2452544867992401,0.3483213186264038,1.2464404619549896e-07","0.29547935724258423,0.3775385618209839,-0.03840652108192444","0.3349730968475342,0.42300549149513245,-0.0711946189403534","0.34138888120651245,0.47466546297073364,-0.09851443767547607","0.3072754442691803,0.5074489116668701,-0.12530876696109772","0.31238529086112976,0.2672930359840393,-0.08302692323923111","0.3120870590209961,0.43346789479255676,-0.12198749929666519","0.31226250529289246,0.4359298050403595,-0.14631222188472748","0.31325286626815796,0.39879876375198364,-0.16364122927188873","0.263467401266098,0.2674238085746765,-0.08117284625768661","0.27827268838882446,0.45878860354423523,-0.10788162052631378","0.28110307455062866,0.44395795464515686,-0.1104750856757164","0.2796648442745209,0.38940125703811646,-0.11745507270097733","0.22184376418590546,0.2947274148464203,-0.08104778081178665","0.24293972551822662,0.4690704345703125,-0.1002032682299614","0.2474711686372757,0.4471985697746277,-0.08639170229434967","0.24734176695346832,0.39193329215049744,-0.07921470701694489","0.18927529454231262,0.33293911814689636,-0.08663728088140488","0.21285630762577057,0.46095898747444153,-0.10544303804636002","0.22427445650100708,0.4377540349960327,-0.10333921760320663","0.22597193717956543,0.3905468285083771,-0.10131075233221054"
0.0,"0.24332159757614136,0.3114282488822937,9.146613422217342e-08","0.2963142693042755,0.3447820842266083,-0.035982392728328705","0.34077557921409607,0.42070528864860535,-0.0678892582654953","0.3512314260005951,0.49362659454345703,-0.09458304196596146","0.3263167142868042,0.5350048542022705,-0.12170404195785522","0.31199413537979126,0.31877392530441284,-0.09043223410844803","0.32251787185668945,0.5001833438873291,-0.1310219019651413","0.3227148652076721,0.5088222026824951,-0.15497714281082153","0.31844988465309143,0.4689466059207916,-0.17147468030452728","0.2622587978839874,0.3223004639148712,-0.08925891667604446","0.28240635991096497,0.5166035890579224,-0.11875077337026596","0.2913004159927368,0.5061690211296082,-0.12091212719678879","0.2932520806789398,0.4544343948364258,-0.12807400524616241","0.22162801027297974,0.34366896748542786,-0.08869901299476624","0.24601581692695618,0.5187222361564636,-0.10973188281059265","0.25540071725845337,0.5010552406311035,-0.09509781748056412","0.25689417123794556,0.45004135370254517,-0.08781452476978302","0.19228966534137726,0.3707529902458191,-0.0934864804148674","0.21480561792850494,0.5049806833267212,-0.11398722976446152","0.22855985164642334,0.4904066324234009,-0.11157283186912537","0.23129737377166748,0.4490145444869995,-0.11033125221729279"
0.0,"0.21474865078926086,0.31116098165512085,-2.0086613261582897e-08","0.27813366055488586,0.305547833442688,-0.01283593662083149","0.33718419075012207,0.387699156999588,-0.03179696202278137","0.3567463457584381,0.4834660291671753,-0.0455055795609951","0.35314667224884033,0.5356996655464172,-0.056953705847263336","0.31029096245765686,0.3693699538707733,-0.07991470396518707","0.341095507144928,0.5374536514282227,-0.10177449136972427","0.3352917432785034,0.5211696028709412,-0.10303056240081787","0.32680511474609375,0.4717661440372467,-0.10009199380874634","0.26450175046920776,0.3971765339374542,-0.08177249133586884","0.3023374080657959,0.5612425208091736,-0.09633676707744598","0.30302664637565613,0.5281991958618164,-0.08080464601516724","0.2953813374042511,0.4750882685184479,-0.07158423960208893","0.2263745814561844,0.4259602725505829,-0.0810888484120369","0.26869145035743713,0.5644973516464233,-0.08306208997964859","0.2722850739955902,0.5287562012672424,-0.05819904804229736","0.2656840682029724,0.47960007190704346,-0.044647227972745895","0.19658595323562622,0.45251235365867615,-0.08158030360937119","0.23884747922420502,0.5524294972419739,-0.07443219423294067","0.24423709511756897,0.5236930847167969,-0.054256685078144073","0.23679956793785095,0.4819483458995819,-0.04310201480984688"
0.0,"0.22019895911216736,0.34140580892562866,-2.6097828254023625e-07","0.28884539008140564,0.34192827343940735,-0.006860342808067799","0.3424489498138428,0.4053274691104889,-0.01852167397737503","0.36790597438812256,0.4829035699367523,-0.025338543578982353","0.3672994375228882,0.5436124205589294,-0.029057567939162254","0.31014662981033325,0.42473337054252625,-0.06478741765022278","0.3556579053401947,0.5513623356819153,-0.0748898983001709","0.3488254249095917,0.5105809569358826,-0.06615979224443436","0.33469974994659424,0.4673559367656708,-0.05749087780714035","0.26976415514945984,0.46559327840805054,-0.06448139995336533","0.3233737647533417,0.5828450918197632,-0.06929192692041397","0.32162541151046753,0.5419751405715942,-0.053160492330789566","0.3063770830631256,0.501272976398468,-0.04299935698509216","0.2357475310564041,0.49804753065109253,-0.06037295609712601","0.28814560174942017,0.5901451706886292,-0.058255359530448914","0.2875532805919647,0.5511739253997803,-0.03691186383366585","0.2725227177143097,0.5120959281921387,-0.02536298707127571","0.208247572183609,0.5208815336227417,-0.056085508316755295","0.25485214591026306,0.585208535194397,-0.05206742510199547","0.25695928931236267,0.5562599301338196,-0.03669368848204613","0.24309977889060974,0.5277382135391235,-0.02732180245220661"
0.0,"0.21155846118927002,0.3808901309967041,-3.691504844027804e-07","0.28102877736091614,0.36953598260879517,-0.0071208905428647995","0.3433963358402252,0.41245898604393005,-0.016799675300717354","0.37957218289375305,0.48424768447875977,-0.021977629512548447","0.3781367540359497,0.5435773730278015,-0.023535678163170815","0.3154171407222748,0.4450993537902832,-0.051661230623722076","0.37028634548187256,0.5506104826927185,-0.057292867451906204","0.3604421019554138,0.5097441077232361,-0.04639042168855667","0.34280335903167725,0.4775815010070801,-0.037543244659900665","0.2794850170612335,0.496401846408844,-0.0505545474588871","0.34354937076568604,0.5920068025588989,-0.05492119491100311","0.3377783000469208,0.5499674081802368,-0.041106920689344406","0.3199400007724762,0.5162837505340576,-0.031636662781238556","0.2493669092655182,0.5387017130851746,-0.04631919413805008","0.31190553307533264,0.6119123101234436,-0.04751241207122803","0.3063114881515503,0.5738234519958496,-0.0321696437895298","0.2889719009399414,0.5413275361061096,-0.023195553570985794","0.22427795827388763,0.5688998699188232,-0.04155532643198967","0.27740904688835144,0.6108952164649963,-0.04381878301501274","0.2744888365268707,0.5814182758331299,-0.035221077501773834","0.25802895426750183,0.5570073127746582,-0.029222216457128525"
0.0,"0.21205249428749084,0.4210367798805237,-3.8025800108698604e-07","0.2813587784767151,0.3946615159511566,-0.005852294620126486","0.34604501724243164,0.42842260003089905,-0.01492392923682928","0.3870270848274231,0.4943406283855438,-0.020168844610452652","0.3921279013156891,0.547315776348114,-0.021859029307961464","0.32170018553733826,0.47323188185691833,-0.045883629471063614","0.38213545083999634,0.5612422823905945,-0.05207207426428795","0.36834391951560974,0.5199981927871704,-0.04340037703514099","0.3484855592250824,0.49046415090560913,-0.03596863895654678","0.2887095510959625,0.5296633839607239,-0.04555434361100197","0.3574574887752533,0.6048395037651062,-0.04943966493010521","0.34755739569664,0.5620440244674683,-0.03689209744334221","0.3265274167060852,0.5325425267219543,-0.028334224596619606","0.2611517310142517,0.5746942758560181,-0.042359694838523865","0.3259967863559723,0.6287007331848145,-0.042226340621709824","0.31749680638313293,0.5920284390449524,-0.02657155692577362","0.29731637239456177,0.5641801953315735,-0.017660601064562798","0.23822249472141266,0.607679545879364,-0.038800980895757675","0.2929143011569977,0.6364321708679199,-0.03888525068759918","0.2882571518421173,0.6076673865318298,-0.029006296768784523","0.27040788531303406,0.5885046720504761,-0.022442318499088287"
0.0,"0.21617171168327332,0.45995914936065674,-3.6738381936629594e-07","0.2828107476234436,0.4193538427352905,-0.0026907247956842184","0.34800446033477783,0.4348696768283844,-0.010191712528467178","0.3913685381412506,0.4915226399898529,-0.014696953818202019","0.39864465594291687,0.5497967004776001,-0.01600225828588009","0.33393698930740356,0.4853980541229248,-0.039987191557884216","0.39457282423973083,0.5634414553642273,-0.04416339471936226","0.37986159324645996,0.527794361114502,-0.03462207689881325","0.35889732837677,0.5026438236236572,-0.02681059017777443","0.305292546749115,0.5496304035186768,-0.04069770500063896","0.37264102697372437,0.6138161420822144,-0.04261777922511101","0.361758291721344,0.5752556324005127,-0.0299330186098814","0.34061992168426514,0.5479007959365845,-0.021474886685609818","0.2806447148323059,0.6007144451141357,-0.0384819321334362","0.3450758755207062,0.643670380115509,-0.03714983910322189","0.33467844128608704,0.6091690063476562,-0.021913550794124603","0.31458792090415955,0.5832076072692871,-0.013419698923826218","0.25902795791625977,0.6378600597381592,-0.03559435158967972","0.31146806478500366,0.6538164615631104,-0.034486375749111176","0.3051782548427582,0.626654863357544,-0.024359025061130524","0.2878018021583557,0.6100387573242188,-0.017584994435310364"
0.0,"0.224881112575531,0.49724477529525757,-3.726712805018906e-07","0.28827837109565735,0.4443688988685608,-0.0013282762374728918","0.3518277108669281,0.445877343416214,-0.008188508450984955","0.3988889157772064,0.48979470133781433,-0.0131400590762496","0.41582441329956055,0.5433577299118042,-0.014972127042710781","0.34839096665382385,0.5013707280158997,-0.031312860548496246","0.4100222587585449,0.5636175274848938,-0.038006383925676346","0.3916459381580353,0.5326669216156006,-0.033447008579969406","0.36866500973701477,0.5097779631614685,-0.02853967621922493","0.32456091046333313,0.5707075595855713,-0.03308534249663353","0.390004962682724,0.6163288950920105,-0.0356624573469162","0.37460681796073914,0.5816880464553833,-0.026470715180039406","0.35136502981185913,0.5584239363670349,-0.020241139456629753","0.3020819127559662,0.6249938607215881,-0.032527752220630646","0.3609653115272522,0.6506446599960327,-0.03159918636083603","0.34743595123291016,0.6198495626449585,-0.017569173127412796","0.3259829878807068,0.5989741086959839,-0.009611548855900764","0.28150859475135803,0.6648699641227722,-0.03137597814202309","0.32903510332107544,0.6685060262680054,-0.029330290853977203","0.32055211067199707,0.6433714032173157,-0.018358692526817322","0.3032221496105194,0.6315001249313354,-0.010800625197589397"
