gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.5000439882278442,0.7257851362228394,-1.0912025727449759e-09","0.4416406452655792,0.6830029487609863,-0.045668672770261765","0.390640527009964,0.6432681083679199,-0.08220156282186508","0.37232422828674316,0.6210603713989258,-0.11260969191789627","0.4073200225830078,0.6131832599639893,-0.14001306891441345","0.394663006067276,0.8657724857330322,-0.09096202999353409","0.40420785546302795,0.6942579746246338,-0.13309228420257568","0.41248515248298645,0.6587467789649963,-0.154434472322464","0.41268807649612427,0.6919272541999817,-0.16941170394420624","0.45317065715789795,0.8794384598731995,-0.09004393965005875","0.4517856538295746,0.659351110458374,-0.12189079076051712","0.45026588439941406,0.6556466817855835,-0.12412165850400925","0.4458012282848358,0.7141841053962708,-0.1302938014268875","0.507289469242096,0.8538767695426941,-0.09193691611289978","0.49705183506011963,0.6476306319236755,-0.11599155515432358","0.49362432956695557,0.6581739783287048,-0.1020718514919281","0.48917216062545776,0.7195627689361572,-0.09501183032989502","0.5537572503089905,0.8121177554130554,-0.10019044578075409","0.5421510338783264,0.6565787196159363,-0.12246435880661011","0.5328986048698425,0.6639087796211243,-0.12214741110801697","0.528692364692688,0.7133901715278625,-0.12138355523347855"
0.0,"0.49967724084854126,0.7346769571304321,-5.121838952959479e-09","0.4424256980419159,0.6895263195037842,-0.0437762551009655","0.3905585706233978,0.6496408581733704,-0.0779445469379425","0.3738899528980255,0.624318540096283,-0.10608941316604614","0.4113345444202423,0.6133096218109131,-0.1313730776309967","0.3961532711982727,0.8629274964332581,-0.09023205935955048","0.4057766795158386,0.6920325756072998,-0.13070683181285858","0.4134177267551422,0.659832775592804,-0.15003478527069092","0.4127715528011322,0.6940428018569946,-0.16363143920898438","0.453963965177536,0.8804802298545837,-0.08963961899280548","0.4526680111885071,0.6565482020378113,-0.11975675821304321","0.4516395926475525,0.6580187678337097,-0.1202060803771019","0.44825479388237,0.7184871435165405,-0.12497667223215103","0.5078223943710327,0.8564326167106628,-0.09154829382896423","0.49779021739959717,0.6476934552192688,-0.114500492811203","0.4955422282218933,0.6601563096046448,-0.0984475240111351","0.49119046330451965,0.7218364477157593,-0.08955827355384827","0.5547878742218018,0.8158966302871704,-0.09974120557308197","0.5437303185462952,0.6575288772583008,-0.12194192409515381","0.5357818007469177,0.6659952402114868,-0.12049148231744766","0.5320581197738647,0.714986264705658,-0.11838972568511963"
0.0,"0.49966710805892944,0.735090434551239,5.216244503003509e-08","0.44176825881004333,0.6837588548660278,-0.05062360689043999","0.38900622725486755,0.6427024602890015,-0.08777283132076263","0.37121835350990295,0.6218090057373047,-0.11761225014925003","0.4088120460510254,0.616256058216095,-0.14371711015701294","0.3955429196357727,0.8620565533638,-0.09659982472658157","0.405361145734787,0.6951406598091125,-0.14103640615940094","0.4110899567604065,0.6656182408332825,-0.1622878611087799","0.4086102545261383,0.6997250318527222,-0.17627792060375214","0.4531596899032593,0.8820984959602356,-0.09262477606534958","0.45467546582221985,0.655653715133667,-0.12724153697490692","0.4508156180381775,0.6622133851051331,-0.12848754227161407","0.4443899989128113,0.7281153798103333,-0.13250064849853516","0.5070040225982666,0.8593937158584595,-0.09197724610567093","0.4991919696331024,0.6465260982513428,-0.11862467974424362","0.49470505118370056,0.6642135381698608,-0.10308869928121567","0.48783615231513977,0.7284518480300903,-0.09315960109233856","0.5537578463554382,0.820287823677063,-0.09818877279758453","0.5443328619003296,0.658421516418457,-0.12314829230308533","0.5346992015838623,0.6707600355148315,-0.12360280007123947","0.5287498235702515,0.7227098941802979,-0.12191257625818253"
0.0,"0.501304566860199,0.735497772693634,2.3804719972986277e-08","0.44349876046180725,0.6884056925773621,-0.046424273401498795","0.3906380832195282,0.6475993990898132,-0.08187967538833618","0.37204140424728394,0.6245349049568176,-0.11131651699542999","0.41103559732437134,0.6164769530296326,-0.13731427490711212","0.39636147022247314,0.8634111881256104,-0.08893615752458572","0.4061487317085266,0.7003161311149597,-0.13106349110603333","0.41293635964393616,0.6698606610298157,-0.1517384648323059","0.40997326374053955,0.7042711973190308,-0.16600486636161804","0.4533745348453522,0.882436215877533,-0.0873568132519722","0.45530733466148376,0.6595348715782166,-0.12104512006044388","0.4526767134666443,0.6614888906478882,-0.12376213073730469","0.44541725516319275,0.7235417366027832,-0.12928391993045807","0.5069108009338379,0.8606117367744446,-0.08884729444980621","0.4994014501571655,0.6500460505485535,-0.11435189843177795","0.495988130569458,0.6638400554656982,-0.1002635806798935","0.48909565806388855,0.7262647151947021,-0.09202402830123901","0.5533055067062378,0.8224971294403076,-0.09690406173467636","0.544711709022522,0.6618297696113586,-0.11996825039386749","0.5356775522232056,0.6704469919204712,-0.12011882662773132","0.5299180150032043,0.7203994989395142,-0.11896947771310806"
0.0,"0.5043521523475647,0.7351003885269165,1.979291042175646e-08","0.445943146944046,0.6873515248298645,-0.04773186519742012","0.3937688171863556,0.6467494368553162,-0.08460477739572525","0.37357115745544434,0.6257216334342957,-0.11528923362493515","0.41011664271354675,0.6206887364387512,-0.14242936670780182","0.39649608731269836,0.8644486665725708,-0.09190433472394943","0.4051232635974884,0.6962314248085022,-0.1340116262435913","0.4154559373855591,0.668088972568512,-0.153764545917511","0.4149726331233978,0.7048208713531494,-0.16752970218658447","0.4537845849990845,0.8828202486038208,-0.09034281969070435","0.45338648557662964,0.6599264740943909,-0.1241031289100647","0.45440173149108887,0.6636329889297485,-0.12551823258399963","0.4486728310585022,0.7268912196159363,-0.12995056807994843","0.5073657035827637,0.8607238531112671,-0.09183920174837112","0.498867392539978,0.6519968509674072,-0.11761850863695145","0.49766746163368225,0.6679166555404663,-0.10218720138072968","0.4914707541465759,0.7306138277053833,-0.0928974449634552","0.5541352033615112,0.8229026794433594,-0.10004065930843353","0.5450661182403564,0.6645170450210571,-0.12365994602441788","0.5370835661888123,0.6742883920669556,-0.12334413826465607","0.5314928293228149,0.7236320376396179,-0.12163617461919785"
0.0,"0.5066556930541992,0.7392449378967285,-2.2383435549500064e-08","0.4451070725917816,0.6957211494445801,-0.04322699457406998","0.3936714231967926,0.6555357575416565,-0.0791822075843811","0.37515348196029663,0.6265889406204224,-0.1099090650677681","0.41311123967170715,0.6189160943031311,-0.13766928017139435","0.39563658833503723,0.8718268275260925,-0.08948684483766556","0.40484926104545593,0.697830080986023,-0.13171522319316864","0.4185445308685303,0.664076566696167,-0.15221165120601654","0.42085957527160645,0.7012118101119995,-0.16643807291984558","0.45385420322418213,0.8862569332122803,-0.09029049426317215","0.4524381160736084,0.6639069318771362,-0.12263275682926178","0.45710718631744385,0.6598358154296875,-0.12320994585752487","0.4534045159816742,0.7191012501716614,-0.12734843790531158","0.5080771446228027,0.8621779084205627,-0.09377379715442657","0.4989013671875,0.6542088985443115,-0.11820650845766068","0.49939632415771484,0.6646613478660583,-0.10192818194627762","0.4949812591075897,0.7245285511016846,-0.09243075549602509","0.5548917055130005,0.8231590390205383,-0.10354221612215042","0.5459556579589844,0.6672955751419067,-0.1255255937576294","0.5394039750099182,0.6739523410797119,-0.12328681349754333","0.5353507995605469,0.720072865486145,-0.12053652852773666"
0.0,"0.5079641938209534,0.7397844791412354,1.8536164603233374e-08","0.4466215968132019,0.6949194073677063,-0.04635417088866234","0.3960341513156891,0.6516921520233154,-0.08570438623428345","0.37587350606918335,0.62640380859375,-0.11956292390823364","0.4117296040058136,0.626293420791626,-0.15016822516918182","0.3949471414089203,0.8749403953552246,-0.09455196559429169","0.40526294708251953,0.6997674107551575,-0.1398908495903015","0.4179213345050812,0.6701446175575256,-0.16199955344200134","0.4194965064525604,0.7078054547309875,-0.17680732905864716","0.4540413022041321,0.8882931470870972,-0.09483730047941208","0.4524330794811249,0.6651604175567627,-0.12973542511463165","0.4563934803009033,0.6641057729721069,-0.13021257519721985","0.45090755820274353,0.7244782447814941,-0.13367676734924316","0.5080122351646423,0.8634043335914612,-0.09817547351121902","0.499774307012558,0.6540558338165283,-0.12461436539888382","0.498458594083786,0.6674929857254028,-0.10751215368509293","0.49169519543647766,0.7273692488670349,-0.09688640385866165","0.5543866753578186,0.8230559825897217,-0.10818363726139069","0.5448687672615051,0.663917064666748,-0.13169459998607635","0.5369187593460083,0.6738085150718689,-0.12974072992801666","0.5311889052391052,0.7215741872787476,-0.1266903430223465"
0.0,"0.5086407661437988,0.7420942783355713,-1.9605495005237117e-09","0.4465249180793762,0.6984772682189941,-0.04407162219285965","0.3948161005973816,0.6588643193244934,-0.08117621392011642","0.3750551640987396,0.6315798759460449,-0.1130414605140686","0.4120384454727173,0.6293169260025024,-0.14154191315174103","0.39458248019218445,0.8791286945343018,-0.09100630134344101","0.40550145506858826,0.7087525129318237,-0.1365298181772232","0.4183879494667053,0.6731671094894409,-0.15903522074222565","0.41959187388420105,0.7088419198989868,-0.1739312708377838","0.45343294739723206,0.8932010531425476,-0.09232565760612488","0.45325616002082825,0.6714234352111816,-0.1280989944934845","0.45648595690727234,0.663017213344574,-0.12969766557216644","0.4505504071712494,0.7197548151016235,-0.13358843326568604","0.5079784989356995,0.8685745000839233,-0.09664170444011688","0.5002225637435913,0.6583772301673889,-0.12389683723449707","0.4980422854423523,0.6648803949356079,-0.10765247046947479","0.4908061623573303,0.7227916717529297,-0.09726381301879883","0.5547997951507568,0.8277826905250549,-0.10733004659414291","0.5455811619758606,0.6682103872299194,-0.13096284866333008","0.536891520023346,0.6719624400138855,-0.12884992361068726","0.5304481983184814,0.7168055176734924,-0.12552225589752197"
0.0,"0.5076072216033936,0.7453927993774414,1.3932210940481582e-09","0.445364385843277,0.7017887830734253,-0.043613553047180176","0.39372676610946655,0.6594865322113037,-0.08177643269300461","0.3737858533859253,0.6350664496421814,-0.11494027078151703","0.4114634692668915,0.6353690028190613,-0.14501939713954926","0.3936901092529297,0.8812705278396606,-0.09140448272228241","0.4043532907962799,0.7067381739616394,-0.13558241724967957","0.41761699318885803,0.6743147373199463,-0.1571938544511795","0.4194369316101074,0.7121725678443909,-0.17187881469726562","0.45339691638946533,0.8944372534751892,-0.09286411851644516","0.4514331519603729,0.6746677160263062,-0.12662369012832642","0.4555370807647705,0.6679414510726929,-0.12692289054393768","0.45034483075141907,0.7259591221809387,-0.13056479394435883","0.5074895024299622,0.8700854182243347,-0.09711415320634842","0.49844494462013245,0.6611254215240479,-0.12222295999526978","0.4973282516002655,0.6708897948265076,-0.10527507215738297","0.49165841937065125,0.7315697073936462,-0.0953279361128807","0.553492546081543,0.8297083973884583,-0.10778408497571945","0.5431628823280334,0.6687003374099731,-0.12969744205474854","0.5347767472267151,0.6752212047576904,-0.12719638645648956","0.5295364856719971,0.7234785556793213,-0.12430901825428009"
0.0,"0.5043367743492126,0.7475809454917908,2.321823799888989e-08","0.44184768199920654,0.7054251432418823,-0.043772242963314056","0.39120712876319885,0.6641226410865784,-0.082060806453228","0.373230904340744,0.6369234919548035,-0.11527781188488007","0.4109047055244446,0.6346869468688965,-0.14524123072624207","0.39201539754867554,0.8849104046821594,-0.09180008620023727","0.40431714057922363,0.7200524210929871,-0.13743671774864197","0.41454261541366577,0.6869841814041138,-0.15970174968242645","0.41427531838417053,0.7215482592582703,-0.17422138154506683","0.451418399810791,0.8985186219215393,-0.09270727634429932","0.45112311840057373,0.6805771589279175,-0.12816929817199707","0.45328766107559204,0.671298086643219,-0.12899018824100494","0.44750750064849854,0.7271513938903809,-0.1323820948600769","0.5051616430282593,0.874787449836731,-0.09656728059053421","0.4969373047351837,0.6645699739456177,-0.12282413989305496","0.4944809675216675,0.6720961928367615,-0.10643186420202255","0.48831886053085327,0.7314403057098389,-0.09636044502258301","0.5507662892341614,0.8344762325286865,-0.10686303675174713","0.5413150787353516,0.6713958978652954,-0.1293918639421463","0.533149003982544,0.6770962476730347,-0.12766598165035248","0.5281879305839539,0.7254059314727783,-0.12502101063728333"
0.0,"0.5025811791419983,0.7570105791091919,4.0009496160564595e-08","0.4417465925216675,0.7103558778762817,-0.04733262211084366","0.3901393413543701,0.6654228568077087,-0.08716724067926407","0.36970415711402893,0.6418464183807373,-0.12113766372203827","0.4072839617729187,0.6413728594779968,-0.15161117911338806","0.3907562792301178,0.885593056678772,-0.09615599364042282","0.4030655026435852,0.71270352602005,-0.1412581354379654","0.41331183910369873,0.6875665187835693,-0.16249845921993256","0.4127693176269531,0.7251454591751099,-0.17670392990112305","0.44941192865371704,0.9004849195480347,-0.09547726064920425","0.44905343651771545,0.6755138039588928,-0.13011939823627472","0.45171883702278137,0.6796725988388062,-0.1298372447490692","0.4459046721458435,0.7420281767845154,-0.13300155103206635","0.5028427243232727,0.8769303560256958,-0.09792657196521759","0.4944506585597992,0.6618387699127197,-0.12359028309583664","0.49365320801734924,0.6821539998054504,-0.10666313767433167","0.4880351722240448,0.746741771697998,-0.0965946763753891","0.5489258170127869,0.8361630439758301,-0.10724268108606339","0.5386461615562439,0.6697959899902344,-0.13070523738861084","0.5314375758171082,0.6863106489181519,-0.13030190765857697","0.527623176574707,0.7409883141517639,-0.12867234647274017"
0.0,"0.50248783826828,0.7526939511299133,-1.53420529613868e-08","0.44067683815956116,0.7090121507644653,-0.04120684042572975","0.38846471905708313,0.6678306460380554,-0.07822243869304657","0.3676449954509735,0.6446574926376343,-0.11065994948148727","0.4061715602874756,0.642626166343689,-0.1401999294757843","0.3873472511768341,0.8886215090751648,-0.08804794400930405","0.399905800819397,0.7219616174697876,-0.13057459890842438","0.4129965305328369,0.690546452999115,-0.15144558250904083","0.41344767808914185,0.7278801202774048,-0.16596637666225433","0.44592514634132385,0.9043587446212769,-0.09048201888799667","0.44428494572639465,0.6881698966026306,-0.12295514345169067","0.4510643780231476,0.6780592799186707,-0.12309584766626358","0.4476204514503479,0.7331700921058655,-0.12689846754074097","0.49949830770492554,0.8827700018882751,-0.09559023380279541","0.49062931537628174,0.6722793579101562,-0.11920582503080368","0.49190813302993774,0.681121289730072,-0.10365605354309082","0.48778828978538513,0.7420364022254944,-0.09536975622177124","0.5454672574996948,0.8437472581863403,-0.10693084448575974","0.5355558395385742,0.6798217296600342,-0.12731584906578064","0.5296429991722107,0.6868601441383362,-0.1258343756198883","0.5266358852386475,0.7369334101676941,-0.12442591786384583"
0.0,"0.49800026416778564,0.7494673132896423,-2.2656861109471294e-10","0.43656450510025024,0.7099204063415527,-0.04111354798078537","0.38568440079689026,0.6704414486885071,-0.0775165781378746","0.3652259111404419,0.6456431150436401,-0.10936685651540756","0.40358802676200867,0.6438677906990051,-0.13818687200546265","0.3850095570087433,0.8921792507171631,-0.08566147089004517","0.39856380224227905,0.728293776512146,-0.12706327438354492","0.40817639231681824,0.6959801912307739,-0.14685168862342834","0.40746861696243286,0.7306159138679504,-0.16026173532009125","0.4437423050403595,0.9059873819351196,-0.08762121200561523","0.4436977803707123,0.6892946362495422,-0.11888638138771057","0.4467032849788666,0.6772639155387878,-0.11914008110761642","0.4410246014595032,0.7331730723381042,-0.12291266024112701","0.49723905324935913,0.8834234476089478,-0.09231256693601608","0.48982635140419006,0.6734309196472168,-0.1160120889544487","0.4880737066268921,0.6786553859710693,-0.10119152069091797","0.4824816584587097,0.737728476524353,-0.09300141036510468","0.5432965159416199,0.8443375825881958,-0.10311347246170044","0.5342065691947937,0.6810666918754578,-0.12372968345880508","0.5263848304748535,0.6837266087532043,-0.12225084006786346","0.5224066972732544,0.72954261302948,-0.12049990147352219"
